Parameter S1 S1_conf ST ST_conf
Tmax k37 0.017837 0.081116
Tmax k38 0.017876 0.081194
Tmax k39 0.017632 0.081152
Tmax k40 0.017726 0.081105
Tmax k41 0.017828 0.081077
Tmax k42 0.017703 0.081076
Tmax k43 0.017822 0.081116
Tmax k44 0.017832 0.081116
Tmax k45 0.017818 0.081118
Tmax k46 0.017860 0.081124
Tmax k47 0.017836 0.081115
Tmax k48 0.019011 0.081528
Tmax k49 0.017805 0.081102
Tmax k50 0.017032 0.081037
Tmax k51 0.017109 0.081072
Tmax k52 0.017670 0.081112
Tmax k53 0.019114 0.080999
Tmax k54 0.017715 0.081062
Tmax k55 0.017917 0.081121
Tmax k56 0.018080 0.081066
Tmax k57 0.019787 0.081050
Tmax k58 0.017685 0.081189
Tmax k59 0.017829 0.081116
Tmax k60 0.017838 0.081116
Tmax k61 0.017026 0.080744
Tmax k62 0.017806 0.081127
Tmax k63 0.017968 0.081128
Tmax k64 0.017838 0.081116
Tmax k65 0.017838 0.081116
Tmax k66 0.017797 0.081117
Tmax k67 0.017915 0.081124
Tmax k68 0.017787 0.081124
Tmax k69 0.018041 0.081072
Tmax k70 0.017886 0.081118
Tmax k71 0.017796 0.081119
Tmax k72 0.017837 0.081116
Tmax k73 0.017763 0.081175
Tmax k74 0.017837 0.081116
Tmax k75 0.018091 0.081085
Tmax k76 0.017835 0.081116
Tmax k77 0.017734 0.081109
Tmax k78 0.017829 0.081116
Tmax k79 0.018056 0.081200
Tmax k80 0.018043 0.081086
Tmax k81 0.017626 0.081111
Tmax k82 0.017614 0.081082
Tmax k83 0.017873 0.081119
Tmax k84 0.017845 0.081115
Tmax k85 0.017841 0.081116
Tmax k86 0.017300 0.081115
Tmax k87 0.017900 0.081113
Tmax k88 0.017837 0.081116
Tmax k89 0.017833 0.081115
Tmax k90 0.017674 0.081105
Tmax k91 0.017640 0.081091
Tmax k92 0.017829 0.081110
Tmax k93 0.017837 0.081116
Tmax k94 0.017837 0.081116
Tmax k95 0.017837 0.081116
Tmax k96 0.017837 0.081116
Tmax k97 0.017837 0.081116
Tmax k98 0.017837 0.081116
Tmax k99 0.017837 0.081116
Tmax k100 0.017837 0.081116
Tmax k101 0.017818 0.081114
Tmax k102 0.017837 0.081116
Tmax k103 0.017734 0.081109
Tmax k104 0.014670 0.081086
Tmax k105 0.019399 0.080877
Tmax k106 0.017602 0.081408
Tmax k107 0.016526 0.081196
Tmax k108 0.018904 0.081713
Tmax k109 0.017754 0.081105
Tmax k110 0.020125 0.081578
Tmax k111 0.017734 0.081109
Tmax k112 0.017816 0.081115
Tmax k113 0.017837 0.081116
Tmax k114 0.017835 0.081116
Tmax k115 0.016576 0.081161
Tmax k116 0.017850 0.081114
Tmax k117 0.018050 0.081097
Tmax k118 0.018021 0.081070
Tmax k119 0.018919 0.080997
Tmax k120 0.017837 0.081115
Tmax k121 0.017892 0.081121
Tmax k122 0.017837 0.081116
Tmax k123 0.017837 0.081116
Tmax k124 0.017725 0.081109
Tmax k125 0.017836 0.081116
Tmax k126 0.017848 0.081114
Tmax k127 0.017816 0.081119
Tmax k128 0.017823 0.081115
Tmax k129 0.017779 0.081111
Tmax k130 0.018475 0.081118
Tmax k131 0.017837 0.081116
Tmax k132 0.017837 0.081116
Tmax k133 0.017838 0.081116
Tmax k134 0.017837 0.081116
Tmax k135 0.017839 0.081116
Tmax k136 0.017848 0.081115
Tmax k137 0.017833 0.081117
Tmax k138 0.018240 0.081157
Tmax k139 0.017872 0.081208
Tmax k140 0.017894 0.081217
Tmax k141 0.017835 0.081116
Tmax k142 0.017776 0.081107
Tmax k143 0.017837 0.081116
Tmax k144 0.017837 0.081116
Tmax k145 0.017837 0.081116
Tmax k146 0.017835 0.081116
Tmax k147 0.017832 0.081116
Tmax k148 0.017884 0.081131
Tmax k149 0.017818 0.081118
Tmax k150 0.017873 0.081153
Tmax k151 0.017837 0.081116
Tmax k152 0.017837 0.081116
Tmax k153 0.017837 0.081116
Tmax k154 0.017838 0.081115
Tmax k155 0.017837 0.081116
Tmax k156 0.017864 0.081119
Tmax k157 0.017685 0.081120
Tmax k158 0.017831 0.081116
Tmax k159 0.018075 0.081104
Tmax k160 0.017832 0.081112
Tmax k161 0.018358 0.081062
Tmax k162 0.017824 0.081116
Tmax k163 0.017982 0.081123
Tmax k164 0.017837 0.081116
Tmax k165 0.018471 0.081118
Tmax k166 0.017838 0.081116
Tmax k167 0.017830 0.081116
Tmax k168 0.017842 0.081117
Tmax k169 0.017944 0.081122
Tmax k170 0.017803 0.081116
Tmax k171 0.018016 0.081148
Tmax k172 0.017854 0.081120
Tmax k173 0.017834 0.081116
Tmax k174 0.017733 0.081109
Tmax k175 0.017852 0.081117
Tmax k176 0.017836 0.081115
Tmax k177 0.017856 0.081117
Tmax k178 0.017811 0.081129
Tmax k179 0.017843 0.081128
Tmax k180 0.017875 0.081114
Tmax k181 0.016638 0.080970
Tmax k182 0.017837 0.081116
Tmax k183 0.017854 0.081115
Tmax k184 0.017508 0.081125
Tmax k185 0.017905 0.081111
Tmax k186 0.017852 0.081111
Tmax k187 0.017844 0.081117
Tmax k188 0.017799 0.081120
Tmax k189 0.017843 0.081117
Tmax k190 0.017843 0.081115
Tmax k191 0.017911 0.081125
Tmax k192 0.018117 0.081173
Tmax k193 0.017804 0.081080
Tmax k194 0.017853 0.081116
Tmax k195 0.017837 0.081116
Tmax k196 0.017858 0.081115
Tmax k197 0.017839 0.081116
Tmax k198 0.017848 0.081117
Tmax k199 0.017762 0.081141
Tmax k200 0.017879 0.081115
Tmax k201 0.017842 0.081121
Tmax k202 0.017837 0.081116
Tmax k203 0.017963 0.081192
Tmax k204 0.017845 0.081115
Tmax k205 0.015579 0.081303
Tmax k206 0.017829 0.081115
Tmax k207 0.017880 0.081110
Tmax k208 0.017848 0.081116
Tmax k209 0.017876 0.081115
Tmax k210 0.017828 0.081115
Tmax k211 0.017798 0.081122
Tmax k212 0.017661 0.081135
Tmax k213 0.017818 0.081129
Tmax k214 0.017795 0.081127
Tmax k215 0.017842 0.081116
Tmax k216 0.017837 0.081116
Tmax k217 0.017836 0.081116
Tmax k218 0.017838 0.081116
Tmax k219 0.017837 0.081116
Tmax k220 0.017830 0.081116
Tmax k221 0.017837 0.081116
Tmax k222 0.017837 0.081116
Tmax k223 0.017965 0.081101
Tmax k224 0.017893 0.081114
Tmax k225 0.017845 0.081116
Tmax k226 0.017839 0.081116
Tmax k227 0.017847 0.081115
Tmax k228 0.017837 0.081116
Tmax k229 0.017838 0.081116
Tmax k230 0.017834 0.081115
Tmax k231 0.017839 0.081116
Tmax k232 0.017822 0.081116
Tmax k233 0.017855 0.081115
Tmax k234 0.017812 0.081102
Tmax k235 0.017836 0.081113
Tmax k236 0.017840 0.081115
Tmax k237 0.017837 0.081116
Tmax k238 0.017841 0.081116
Tmax k239 0.017838 0.081116
Tmax k240 0.017853 0.081116
Tmax k241 0.017837 0.081116
Tmax k242 0.017870 0.081117
Tmax k243 0.017830 0.081115
Tmax k244 0.017828 0.081119
Tmax k245 0.017863 0.081113
