Parameter S1 S1_conf ST ST_conf
Tmax k12 -0.002171 0.090021
Tmax k13 -0.002374 0.089967
Tmax k14 -0.002852 0.089688
Tmax k15 -0.000711 0.089929
Tmax k16 -0.002417 0.089959
Tmax k17 -0.004087 0.089923
Tmax k18 -0.002380 0.089953
Tmax k19 -0.002209 0.089952
Tmax k20 -0.001875 0.089934
Tmax k21 -0.001465 0.089918
Tmax k22 -0.002362 0.089965
Tmax k23 -0.001874 0.089686
Tmax k24 -0.002406 0.089967
Tmax k25 -0.002476 0.089969
Tmax k26 -0.002508 0.089940
Tmax k27 -0.002414 0.089969
Tmax k28 -0.003207 0.090036
Tmax k29 -0.002291 0.089987
Tmax k30 -0.002459 0.090110
Tmax k31 -0.002020 0.089528
Tmax k32 -0.002600 0.089995
Tmax k33 -0.002426 0.089967
Tmax k34 -0.005829 0.089938
Tmax k35 -0.002066 0.090109
Tmax k36 -0.002418 0.089966
Tmax k37 -0.002411 0.089968
Tmax k38 0.001368 0.088989
Tmax k39 -0.002311 0.089894
Tmax k40 -0.002434 0.089962
Tmax k41 -0.002154 0.089974
Tmax k42 -0.003396 0.090063
Tmax k43 -0.002216 0.089963
Tmax k44 -0.002409 0.089968
Tmax k45 -0.002312 0.089945
Tmax k46 -0.002515 0.089935
Tmax k47 -0.002328 0.089967
Tmax k48 -0.005781 0.089789
Tmax k49 -0.002516 0.089956
Tmax k50 -0.002753 0.090205
Tmax k51 -0.002155 0.089935
Tmax k52 -0.002377 0.090083
Tmax k53 -0.003366 0.089877
Tmax k54 -0.002286 0.089954
Tmax k55 -0.002686 0.089944
Tmax k56 -0.001853 0.089961
Tmax k57 -0.003053 0.089991
Tmax k58 -0.002586 0.089989
Tmax k59 -0.002408 0.089968
Tmax k60 -0.002409 0.089968
Tmax k61 -0.002291 0.089832
Tmax k62 -0.002440 0.089971
Tmax k63 -0.001318 0.090030
Tmax k64 -0.002406 0.089968
Tmax k65 -0.002411 0.089968
Tmax k66 -0.002393 0.089967
Tmax k67 -0.002613 0.089945
Tmax k68 -0.002387 0.089951
Tmax k69 -0.002525 0.089967
Tmax k70 -0.002468 0.089990
Tmax k71 -0.002371 0.089968
Tmax k72 -0.002409 0.089968
Tmax k73 -0.002515 0.089966
Tmax k74 -0.002410 0.089968
Tmax k75 -0.002437 0.089977
Tmax k76 -0.002407 0.089968
Tmax k77 -0.002392 0.089967
Tmax k78 -0.002415 0.089968
Tmax k79 -0.002336 0.089968
Tmax k80 -0.002871 0.089982
Tmax k81 -0.001957 0.089843
Tmax k82 -0.001960 0.089646
Tmax k83 -0.002259 0.089969
Tmax k84 -0.002410 0.089968
Tmax k85 -0.002416 0.089968
Tmax k86 -0.000978 0.089940
Tmax k87 -0.002650 0.089859
Tmax k88 -0.001604 0.090019
Tmax k89 -0.002124 0.089916
Tmax k90 -0.002563 0.089951
Tmax k91 -0.002586 0.089956
Tmax k92 -0.001922 0.089867
Tmax k93 -0.002410 0.089968
Tmax k94 -0.002410 0.089968
Tmax k95 -0.002410 0.089968
Tmax k96 -0.002410 0.089968
Tmax k97 -0.002410 0.089968
Tmax k98 -0.002410 0.089968
Tmax k99 -0.002410 0.089968
Tmax k100 -0.002410 0.089968
Tmax k101 -0.002398 0.089967
Tmax k102 -0.002410 0.089968
Tmax k103 -0.002392 0.089967
Tmax k104 -0.002846 0.089883
Tmax k105 -0.002978 0.090062
Tmax k106 -0.001832 0.089621
Tmax k107 -0.002908 0.089996
Tmax k108 -0.003120 0.090007
Tmax k109 -0.002568 0.089974
Tmax k110 -0.002973 0.090018
Tmax k111 -0.002392 0.089967
Tmax k112 -0.002404 0.089967
Tmax k113 -0.002410 0.089968
Tmax k114 -0.002409 0.089968
Tmax k115 -0.002423 0.089974
Tmax k116 -0.002410 0.089968
Tmax k117 -0.002338 0.089969
Tmax k118 -0.002495 0.089978
Tmax k119 -0.002244 0.089983
Tmax k120 -0.002408 0.089968
Tmax k121 -0.002360 0.089968
Tmax k122 -0.002409 0.089968
Tmax k123 -0.002410 0.089968
Tmax k124 -0.002398 0.089968
Tmax k125 -0.002409 0.089968
Tmax k126 -0.002407 0.089968
Tmax k127 -0.002386 0.089967
Tmax k128 -0.002410 0.089968
Tmax k129 -0.002518 0.089973
Tmax k130 -0.002235 0.089981
Tmax k131 -0.002410 0.089968
Tmax k132 -0.002409 0.089968
Tmax k133 -0.002410 0.089968
Tmax k134 -0.002410 0.089968
Tmax k135 -0.002409 0.089968
Tmax k136 -0.002447 0.089968
Tmax k137 -0.002409 0.089968
Tmax k138 -0.002415 0.089957
Tmax k139 -0.002344 0.089967
Tmax k140 -0.002621 0.089985
Tmax k141 -0.002408 0.089968
Tmax k142 -0.002452 0.089973
Tmax k143 -0.002410 0.089968
Tmax k144 -0.002409 0.089968
Tmax k145 -0.002409 0.089968
Tmax k146 -0.002409 0.089968
Tmax k147 -0.002405 0.089968
Tmax k148 -0.002315 0.089970
Tmax k149 -0.002409 0.089968
Tmax k150 -0.002494 0.089970
Tmax k151 -0.002410 0.089968
Tmax k152 -0.002410 0.089968
Tmax k153 -0.002409 0.089968
Tmax k154 -0.002409 0.089968
Tmax k155 -0.002410 0.089968
Tmax k156 -0.002415 0.089968
Tmax k157 -0.002386 0.089963
Tmax k158 -0.002413 0.089968
Tmax k159 -0.002382 0.089960
Tmax k160 -0.002326 0.089953
Tmax k161 -0.002217 0.089962
Tmax k162 -0.002413 0.089967
Tmax k163 -0.002350 0.089969
Tmax k164 -0.002415 0.089968
Tmax k165 -0.002237 0.089982
Tmax k166 -0.002407 0.089968
Tmax k167 -0.002402 0.089968
Tmax k168 -0.002400 0.089968
Tmax k169 -0.002363 0.089955
Tmax k170 -0.002428 0.089968
Tmax k171 -0.002484 0.089960
Tmax k172 -0.002409 0.089968
Tmax k173 -0.002410 0.089968
Tmax k174 -0.002392 0.089967
Tmax k175 -0.002407 0.089966
Tmax k176 -0.002404 0.089970
Tmax k177 -0.002402 0.089967
Tmax k178 -0.002325 0.089937
Tmax k179 -0.002570 0.089949
Tmax k180 -0.002427 0.089973
Tmax k181 -0.002608 0.089784
Tmax k182 -0.002410 0.089968
Tmax k183 -0.002401 0.089972
Tmax k184 -0.002468 0.089981
Tmax k185 -0.002271 0.089977
Tmax k186 -0.002370 0.089964
Tmax k187 -0.002368 0.089971
Tmax k188 -0.002386 0.089954
Tmax k189 -0.002337 0.089961
Tmax k190 -0.002533 0.089945
Tmax k191 -0.002351 0.089980
