Parameter S1 S1_conf ST ST_conf
k348 -0.000359 0.000714 0.000033 0.000066
k349 -0.000073 0.000143 0.000002 0.000001
k350 0.000024 0.000108 0.000001 0.000000
k351 0.000047 0.000264 0.000005 0.000002
k352 -0.000328 0.000697 0.000032 0.000062
k353 -0.000002 0.000259 0.000009 0.000007
k354 -0.000189 0.001124 0.000068 0.000022
k355 -0.000004 0.000217 0.000003 0.000003
k356 -0.000352 0.001330 0.000226 0.000220
k357 0.000006 0.000698 0.000080 0.000076
k358 -0.000229 0.001572 0.000169 0.000053
k359 0.000043 0.000090 0.000001 0.000000
k360 0.000210 0.001085 0.000075 0.000018
k361 0.001524 0.003064 0.000579 0.000335
k362 0.000203 0.000806 0.000042 0.000012
k363 0.000027 0.000044 0.000004 0.000007
k364 0.000073 0.000084 0.000001 0.000000
k365 -0.000046 0.000054 0.000006 0.000012
k366 -0.000002 0.000012 0.000000 0.000001
k367 -0.000002 0.000009 0.000000 0.000000
k368 0.000000 0.000001 0.000000 0.000000
k369 -0.000000 0.000000 0.000000 0.000000
k370 -0.000008 0.000022 0.000000 0.000000
k371 -0.000430 0.000707 0.000032 0.000063
k372 -0.000006 0.000012 0.000000 0.000000
k373 -0.001747 0.003483 0.000952 0.001896
k374 0.000283 0.000642 0.000021 0.000030
k375 0.000003 0.000049 0.000000 0.000000
k376 0.000389 0.000852 0.000009 0.000017
k377 -0.000255 0.000610 0.000032 0.000042
k378 0.000831 0.001751 0.000048 0.000071
k379 0.000059 0.000092 0.000001 0.000001
k380 -0.000000 0.000002 0.000000 0.000000
k381 -0.001769 0.003482 0.000953 0.001896
k382 -0.000004 0.000058 0.000000 0.000000
k383 0.000999 0.001957 0.000148 0.000290
k384 0.000000 0.000000 0.000000 0.000000
k385 -0.000560 0.002615 0.000154 0.000169
k386 -0.000059 0.000167 0.000004 0.000004
k387 -0.000018 0.000039 0.000000 0.000000
k388 0.000027 0.000101 0.000001 0.000001
k389 -0.000024 0.000076 0.000000 0.000000
k390 -0.000001 0.000002 0.000000 0.000000
k391 0.000282 0.000606 0.000022 0.000009
k392 -0.000017 0.000798 0.000054 0.000058
k393 0.000267 0.000483 0.000023 0.000012
k394 -0.000125 0.000208 0.000003 0.000002
k395 0.000000 0.000000 0.000000 0.000000
k396 0.000712 0.001954 0.000288 0.000106
k397 0.000847 0.002340 0.000205 0.000111
k398 -0.003287 0.005281 0.001263 0.000427
k399 -0.001059 0.001811 0.000276 0.000135
k400 0.000762 0.003685 0.000827 0.000489
k401 0.000055 0.000221 0.000002 0.000001
k402 -0.000898 0.002543 0.000498 0.000258
k403 -0.004565 0.004587 0.001195 0.000739
k404 -0.000497 0.000724 0.000035 0.000014
k405 0.000191 0.000727 0.000015 0.000020

Parameter_1 Parameter_2 S2 S2_conf
Tmax h 0.020656 0.051969
Tmax Carbon 0.020972 0.051878
Tmax Hydrogen 0.032283 0.055436
Tmax k0 0.019821 0.051850
Tmax k1 0.021011 0.051824
Tmax k2 0.020034 0.051813
Tmax k3 0.023654 0.051895
Tmax k4 0.020761 0.051946
Tmax k5 0.019558 0.051925
Tmax k6 0.019046 0.052251
Tmax k7 0.021505 0.052286
Tmax k8 0.021625 0.052623
Tmax k9 0.021399 0.051811
Tmax k10 0.021065 0.051863
Tmax k11 0.021167 0.051864
Tmax k12 0.021556 0.051831
Tmax k13 0.021214 0.051864
Tmax k14 0.020365 0.051990
Tmax k15 0.020501 0.051453
Tmax k16 0.021120 0.051879
Tmax k17 0.021124 0.052413
Tmax k18 0.021359 0.051882
Tmax k19 0.021202 0.051861
Tmax k20 0.023557 0.052065
Tmax k21 0.022410 0.051809
Tmax k22 0.021276 0.051844
Tmax k23 0.022184 0.051939
Tmax k24 0.021162 0.051867
Tmax k25 0.021104 0.051865
Tmax k26 0.021034 0.051844
Tmax k27 0.021221 0.051867
Tmax k28 0.024299 0.051551
Tmax k29 0.020990 0.052008
Tmax k30 0.023962 0.051476
Tmax k31 0.018959 0.051195
Tmax k32 0.020862 0.051843
Tmax k33 0.021142 0.051863
Tmax k34 0.021820 0.052069
Tmax k35 0.021037 0.051865
Tmax k36 0.021177 0.051866
Tmax k37 0.021164 0.051865
Tmax k38 0.021502 0.051760
Tmax k39 0.020883 0.051896
Tmax k40 0.021390 0.051873
Tmax k41 0.021199 0.051849
Tmax k42 0.020731 0.051681
Tmax k43 0.021048 0.051870
Tmax k44 0.021185 0.051865
Tmax k45 0.021177 0.051858
Tmax k46 0.021024 0.051977
Tmax k47 0.021170 0.051862
Tmax k48 0.022364 0.051987
Tmax k49 0.020352 0.052040
Tmax k50 0.020301 0.052046
Tmax k51 0.021174 0.051801
Tmax k52 0.022098 0.051788
Tmax k53 0.019303 0.051893
Tmax k54 0.021172 0.051926
Tmax k55 0.021380 0.051757
Tmax k56 0.020725 0.051887
Tmax k57 0.024364 0.051714
Tmax k58 0.022921 0.052768
Tmax k59 0.021170 0.051864
Tmax k60 0.021167 0.051865
Tmax k61 0.021032 0.051906
Tmax k62 0.021205 0.051864
Tmax k63 0.021484 0.051876
Tmax k64 0.021167 0.051865
Tmax k65 0.021171 0.051864
Tmax k66 0.021186 0.051867
Tmax k67 0.021050 0.051850
